|CASE NUMBER|SR LOCATION|COUNTY|DISTRICT|NEIGHBORHOOD|TAX ID|TRASH QUAD|RECYCLE QUAD|TRASH DAY|HEAVY TRASH DAY|RECYCLE DAY|KEY MAP|MANAGEMENT DISTRICT|DEPARTMENT|DIVISION|SR TYPE|QUEUE|SLA|STATUS|SR CREATE DATE|DUE DATE|DATE CLOSED|OVERDUE|Title|x|y|LATITUDE|LONGITUDE|Channel Type
5727|11590171-101000880638|8107 DOVER, HOUSTON TX 77061|HARRIS|I|GOLFCREST / BELLFORT / REVEILLE|0844850000007|SE|SE|TUESDAY|3rd Wednesday|TUESDAY-A|535T|HCID #9|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-08 12:00:07|2013-01-11 12:00:07|2013-01-09 08:05:02|-2.16|Flooding|3149912.42|13812220.89|29.67624287|-95.27885762|Voice In
5874|11590231-101000880798|9522 MOORBERRY, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|1001950000011|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450P|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-08 13:30:55|2013-01-11 13:30:55|2013-01-08 14:05:06|-2.98|Flooding|||29.81507615|-95.53402692|WEB
6362|11590460-101000881362|8207 S BRAESWOOD, HOUSTON TX 77071|HARRIS|K|BRAYS OAKS|0971660000026||||||530T|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 06:04:34|2013-01-12 06:02:00|2013-01-09 07:25:03|-2.94|Flooding|3072584.07|13808009.83|||e-mail In
6376|11590467-101000881378|5818 STAR, HOUSTON TX 77057|HARRIS|J|MID WEST|0741650030060|SW|SW|MONDAY|1st Friday|Monday-b|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 06:57:32|2013-01-12 06:57:31|2013-01-09 12:45:01|-2.76|Flooding|3085050.54|13828995.88|||Voice In
6444|11590494-101000881448|Intersection 6500 MAIN ST&1800 UNIVERSITY BLVD|Harris County|D|MEDICAL CENTER AREA|||||||532H||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 08:23:59|2013-01-12 08:23:59|2013-01-09 15:25:01|-2.71|Flooding|3110790.41738|13823818.8381|29.71148881|-95.40087883|Voice In
6458|11590501-101000881462|202 N ESTELLE, HOUSTON TX 77003|HARRIS|H|SECOND WARD|0523160000005|SE|SE|MONDAY|1st Friday|MONDAY-A|494P|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 08:29:07|2013-01-12 08:29:06|2013-01-09 15:45:02|-2.7|Flooding|3132397.64|13838803.64|29.75079644|-95.3312855|Voice In
6597|11590573-101000881604|2321 SOUTHGATE, HOUSTON TX 77030|HARRIS|C|UNIVERSITY PLACE|0600430040016|SW|SE|TUESDAY|3rd Monday|TUESDAY-B|532G||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 09:58:19|2013-01-12 09:58:18|2013-01-09 12:05:01|-2.91|Flooding|3106757.74|13822888.82|29.70927305|-95.41366681|Voice In
6610|11590592-101000881619|Intersection 3400 POLK ST&1300 SAMPSON ST|Harris County|I|GREATER EASTWOOD||SE||MONDAY|1st Friday||494S|East Downtown|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 10:05:38|2013-01-12 10:05:37|2013-01-09 14:05:10|-2.83|Flooding|3127835.52765|13835543.024|||Voice In
6826|11590663-101000881868|Intersection 0 E IH 10 HWY&0 TRAVIS NORTH FWY RAMP|Harris County|H|DOWNTOWN|||||||493L|Greater Northside|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 12:38:47|2013-01-12 12:38:47|2013-01-09 15:05:03|-2.9|Flooding|3122811.91236|13844580.8468|||Voice In
6846|11590670-101000881890|7227 FONDREN, HOUSTON TX 77036|HARRIS|J|SHARPSTOWN|0931760000007||||||530G|Sharpstown MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 13:06:16|2013-01-12 13:06:16|2013-01-09 15:25:01|-2.9|Flooding|3073474.58|13819114.98|29.70166479|-95.51882374|Voice In
6850|11590674-101000881895|8107 LORRIE, HOUSTON TX 77025|HARRIS|K|BRAESWOOD|0803780000006|SW|SE|THURSDAY|3rd Monday|THURSDAY-A|532L||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 13:09:08|2013-01-12 13:09:08|2013-01-09 15:25:01|-2.91|Flooding|3104814.66|13817234.8|29.69389518|-95.42033018|Voice In
6878|11590683-101000881929|Intersection 6608 DECKARD ST&7700 DROUET ST||I|GOLFCREST / BELLFORT / REVEILLE||SE|SE|TUESDAY|3rd Wednesday|TUESDAY-A|535W|HCID #9|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 13:35:17|2013-01-12 13:35:17|2013-01-09 15:45:02|-2.91|Flooding|3148272.71217|13809241.0749|29.66819565|-95.2843169|Voice In
6889|11590740-101000881942|Intersection 9050 CLINTON DR&816 E IH 610 LOOP N|Harris County|I|CLINTON PARK TRI-COMMUNITY|||||||495U||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 13:47:17|2013-01-12 13:47:17|2013-01-09 17:45:01|-2.83|Flooding|3153537.68818|13834827.5395|29.73806288|-95.26517356|Voice In
6894|11590687-101000881949|Intersection 3100 ALLEN PKWY&500 WAUGH DR|Harris County|C|NEARTOWN - MONTROSE|||||||492M||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 13:56:01|2013-01-12 13:56:00|2013-01-09 15:45:02|-2.92|Flooding|3111082.06968|13841972.5754|29.7613637|-95.39819946|Voice In
6902|11590690-101000881959|2519 MOSS HILL, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0982180000050|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450N|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 14:03:18|2013-01-12 14:03:17|2013-01-09 16:45:01|-2.89|Flooding|3065853.33|13860988.4|29.81738823|-95.53891718|Voice In
6937|11590711-101000881996|8320 VENUS, HOUSTON TX 77088|HARRIS|B|ACRES HOME|0701140140005|NW|NW|TUESDAY|4th Monday|TUESDAY-B|411R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 14:36:26|2013-01-12 14:36:26|2013-01-09 15:45:02|-2.95|Flooding|3093286.84|13883445.55|29.87685538|-95.45029437|Voice In
6973|11590713-101000882037|Intersection 5900 W LOOP S&0 SB 610 W FOURNACE EXIT RAMP|Harris County|||||||||531C||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 14:52:26|2013-01-12 14:52:26|2013-01-09 16:25:01|-2.94|Flooding|3091749.74024|13825786.1695|||Voice In
6992|11590715-101000882062|12406 BARBIZON, HOUSTON TX 77089|HARRIS|D|SOUTH BELT / ELLINGTON|1051310000010|SE|SE|THURSDAY|2nd Thursday|THURSDAY-B|616H||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 15:03:31|2013-01-12 15:03:31|2013-01-09 15:25:01|-2.99|Flooding|3175790.45|13779667.83|29.58447718|-95.20073505|Voice In
7026|11590724-101000882110|12406 BARBIZON, HOUSTON TX 77089|HARRIS|D|SOUTH BELT / ELLINGTON|1051310000010|SE|SE|THURSDAY|2nd Thursday|THURSDAY-B|616H||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 15:23:29|2013-01-12 15:23:29|2013-01-09 17:25:01|-2.92|Flooding|3175790.45|13779667.83|29.58447718|-95.20073505|Voice In
7158|11590817-101000882268|2514 MOSS HILL, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0982180000058|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450N|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 17:05:52|2013-01-12 17:05:52|2013-01-09 18:45:01|-2.93|Flooding|3066016.09|13860913.42|29.8171689|-95.53841111|Voice In
7160|11590819-101000882270|Intersection 10600 HILLCROFT AVE&5900 WILLOWBEND BLVD|Harris County|K|WESTBURY||SW|SW|THURSDAY|2nd Thursday|THURSDAY-A|531W|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 17:09:28|2013-01-12 17:09:26|2013-01-09 19:25:01|-2.91|Flooding|3082302.17088|13806532.7988|29.66635316|-95.49221798|Voice In
7166|11590822-101000882276|Intersection 6900 S BRAESWOOD BLVD&9500 FONDREN RD|Harris County|K|BRAYS OAKS|||||||530V|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 17:12:23|2013-01-12 17:12:23|2013-01-09 19:25:01|-2.91|Flooding|3076989.80125|13809747.4312|29.67562677|-95.50863652|Voice In
7192|11590833-101000882305|10922 SHARPVIEW, HOUSTON TX 77072|HARRIS|F|ALIEF|0985110000022|SW|SW|MONDAY|1st Wednesday|Monday-b|529K|International MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 17:29:04|2013-01-12 17:29:04|2013-01-09 20:05:02|-2.89|Flooding|3056502.11|13817763.17|||Voice In
7247|11590857-101000882361|2506 MOSS HILL, HOUSTON TX 77080|HARRIS|A|SPRING BRANCH NORTH|0982180000056|NW|NE|FRIDAY|4th Friday|FRIDAY-A|450N|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 18:16:29|2013-01-12 18:16:29|2013-01-09 18:45:01|-2.98|Flooding|3066016.9|13860754.21|29.81673119|-95.53842342|Voice In
7278|11590879-101000882393|Intersection 2100 CANAL ST&2300 NAVIGATION BLVD|Harris County|H|SECOND WARD|||||||494J|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 19:24:09|2013-01-12 19:24:09|2013-01-09 21:45:00|-2.9|Flooding|3127213.52561|13841419.0821|29.75846668|-95.34743502|Voice In
7280|11590878-101000882395|Intersection 2900 NAVIGATION BLVD&100 N PAGIE ST||H|SECOND WARD|||||||494N|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 19:25:28|2013-01-12 19:25:28|2013-01-09 20:23:59|-2.96|Flooding|3129264.6324|13840728.9775|29.75639353|-95.34104165|Voice In
7333|11591098-101000882450|6356 CREEKBEND, HOUSTON TX 77096|HARRIS|K|BRAYS OAKS|1048020100003||||||530Z|HCID #5 (Brays Oaks)|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 22:46:14|2013-01-12 22:46:14|2013-01-10 12:45:02|-2.42|Flooding|3078770.13|13806233.8|29.66582207|-95.5033632|Voice In
7339|11590983-101000882456|932 LEHMAN, HOUSTON TX 77018|HARRIS|C|CENTRAL NORTHWEST|0410500010177|NW|NE|TUESDAY|3rd Thursday|TUESDAY-B|452G||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-09 23:18:17|2013-01-12 23:18:16|2013-01-11 07:05:01|-1.68|Flooding|3103712.04|13869986.15|29.83898632|-95.41871436|Voice In
7450|11590984-101000882588|Intersection 800 GILPIN ST&2522 THETA|Harris County|E|EDGEBROOK AREA||SE|SW|THURSDAY|2nd Monday|THURSDAY-B|576F||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 08:35:33|2013-01-13 08:35:33|2013-01-11 07:05:01|-2.06|Flooding|3164881.66517|13800540.0467|29.64281837|-95.23292548|Voice In
7513|11590924-101000882671|Intersection 2800 CONWAY ST&8100 LORRIE DR||K|BRAESWOOD||SW|SW|THURSDAY|3rd Monday|Thursday-a|532L||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 09:18:30|2013-01-13 09:18:30|2013-01-10 13:05:05|-2.84|Flooding|3104719.48562|13817376.3014|29.69429215|-95.42061618|Voice In
7520|11590927-101000882681|8302 GREENBUSH, HOUSTON TX 77025|HARRIS|K|BRAESWOOD|0780240020009|SW|SW|THURSDAY|3rd Monday|Thursday-A|532P||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 09:20:12|2013-01-13 09:20:12|2013-01-10 13:05:05|-2.84|Flooding|3103975.66|13816472.93|29.69187156|-95.42304498|Voice In
7617|11590986-101000882807|3510 GILLESPIE, HOUSTON TX 77020|HARRIS|B|GREATER FIFTH WARD|0090180000021|NE|NW|FRIDAY|1st Thursday|Friday-B|494K||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 10:31:45|2013-01-13 10:31:45|2013-01-10 14:05:04|-2.85|Flooding|3131283.9|13844699.94|29.7672177|-95.33427523|Voice In
7633|11590995-101000882824|8620 SCHUMACHER, HOUSTON TX 77063|HARRIS|F|MID WEST|0710340110016|SW|SW|MONDAY|1st Friday|MONDAY-A|490Y||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 10:38:18|2013-01-13 10:38:18|2013-01-10 13:25:01|-2.88|Flooding|3074283.99|13828874.58|29.7284259|-95.51535936|Voice In
7679|11591020-101000882880|6307 TOLEDO, HOUSTON TX 77008|HARRIS|C|LAZYBROOK / TIMBERGROVE|0440820000266||||||492B||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-10 11:09:59|2013-01-13 11:09:58|2013-01-10 12:45:03|-2.93|Flooding|||||WEB
8807|11591663-101000884208|3511 BERING, HOUSTON TX 77057|HARRIS|J|MID WEST|0741650060164|SW|SW|MONDAY|1st Friday|MONDAY-A|491X||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-11 11:22:32|2013-01-14 11:22:32|2013-01-14 15:05:01|0.15|Flooding|3085498.49|13828747.72|29.72715376|-95.48005254|Voice In
10047|11592346-101000885543|Intersection 0 NORTHWEST FWY&0 WB 290 MANGUM UTURN RAMP|Harris County|A|LAZY BROOK / TIMBERGROVE|||||||451V||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-13 07:18:43|2013-01-16 07:18:43|2013-01-13 07:45:01|-2.98|Flooding|3091359.45263|13858909.3781|||Voice In
10282|11592492-101000885779|Intersection 3200 MONTROSE BLVD&916 WESTHEIMER RD|Harris County|C|NEARTOWN - MONTROSE|||NW|||Monday-b|493S|HCID #6|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-13 18:58:06|2013-01-16 18:58:06|2013-01-14 04:05:00|-2.62|Flooding|3113472.96057|13835974.0244|||Voice In
11264|11592949-101000886995|5200 ELYSIAN, HOUSTON TX 77009|HARRIS|H|NEAR NORTHSIDE|0311650000001||||||453V|Greater Northside|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-14 17:33:25|2013-01-17 17:33:25|2013-01-15 03:25:00|-2.59|Flooding|3125528.98|13859059.88|||Voice In
12014|11593298-101000887904|Intersection 11200 ALMEDA RD&2400 REED RD|Harris County|D|CENTRAL SOUTHWEST||SW||FRIDAY|||572D||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-15 14:54:41|2013-01-18 14:54:40|2013-01-16 03:04:59|-2.49|Flooding|||29.65753916|-95.40209862|Unknown
14419|11594477-101000890637|218 BURR, HOUSTON TX 77011|HARRIS|H|SECOND WARD|0280210000018|SE||MONDAY|1st Wednesday||494T|East End|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-17 21:48:30|2013-01-20 21:48:30|2013-01-18 03:24:59|-2.77|Flooding|3133732.77|13836587.74|||Voice In
16071|101000892436|Intersection 0 MONTROSE BLVD&0 S US 59 HWY|Harris County|C|UNIVERSITY PLACE|||SW|||Tuesday-b|493W|West Montrose|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-20 18:44:21|2013-01-23 18:44:21|2013-01-22 08:01:51|-1.45|Flooding|||||Voice In
20143|11597587-101000897203|Intersection 5900 BANKSIDE DR&10800 HILLCROFT AVE|Harris County|K|WESTBURY||SW|SW|THURSDAY|2nd Thursday|THURSDAY-A|531W||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-01-24 17:28:19|2013-01-27 17:28:18|2013-01-25 15:44:55|-2.07|Flooding|3082352.46999|13805339.5171|29.66306887|-95.49217235|Voice In
29696|11602020-101000907902|Intersection 1700 EASTWOOD ST&4400 PEASE ST|Harris County|I|GREATER EASTWOOD||SE|SE|MONDAY|1st Friday|MONDAY-A|494W|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-04 12:26:57|2013-02-07 12:26:57|2013-02-04 12:44:51|-2.99|Flooding|||29.73550413|-95.33618156|WEB
32050|11603024-101000910657|7321 HARRISBURG, HOUSTON TX 77011|HARRIS|I|MAGNOLIA PARK|0251000000020||||||495W|East End MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-06 16:13:34|2013-02-09 16:13:33|2013-02-06 16:24:50|-2.99|Flooding|||29.73381848|-95.2955661|WEB
33185|11603529-101000911936|607 ANCHORAGE, HOUSTON TX 77079|HARRIS|G|MEMORIAL|1130760000018||||||488A||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-07 23:32:51|2013-02-10 23:32:51|2013-02-08 04:04:49|-2.81|Flooding|3035574.14|13845873.22|29.77826893|-95.63573615|Voice In
35667|11604621-101000914762|3234 ASHTON PARK, HOUSTON TX 77082|HARRIS|F|ELDRIDGE / WEST OAKS|1131070000004||||||488Z||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-11 18:26:51|2013-02-14 18:26:51|2013-02-12 16:24:48|-2.08|Flooding|||||WEB
37720|11605557-101000917175|4230 PURDUE, HOUSTON TX 77005|HARRIS|C|GREENWAY / UPPER KIRBY AREA|1228690010002|SW|NW|TUESDAY|1st Friday|Tuesday-b|492W||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-14 09:55:07|2013-02-17 09:55:07|2013-02-15 16:45:01|-1.72|Flooding|3096255.87|13828713.67|||Voice In
37801|11605597-101000917266|6713 ACORN, HOUSTON TX 77092|HARRIS|A|LANGWOOD|0801260000002|NW|NW|FRIDAY|4th Thursday|FRIDAY-A|451E||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-14 10:39:19|2013-02-17 10:39:19|2013-02-18 08:25:03|0.91|Flooding|||29.83679688|-95.48999645|WEB
41570|11607307-101000921710|8100 MAPLECREST, HOUSTON TX 77072|HARRIS|J|ALIEF|0420640000006||||||529L|International MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-19 11:42:16|2013-02-22 11:42:16|2013-02-21 07:05:04|-1.19|Flooding|||29.69118469|-95.5674135|WEB
42093|11607524-101000922326|Intersection 6000 GOLD ST&2000 KELLEY ST|Harris County|H|EASTEX - JENSEN AREA||NE|NE|MONDAY|2nd Friday|MONDAY-B|453R|Greater Northside MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-19 17:59:25|2013-02-22 17:59:25|2013-02-20 05:25:01|-2.52|Flooding|3126040.59981|13861296.6526|29.8132038|-95.34917461|Voice In
42399|11607663-101000922671|Intersection 26300 W HARDY RD&100 KELLY AVE&2 SPRING SCHOOL RD|Harris County|||||||||292Q||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-20 09:35:58|2013-02-23 09:35:23|2013-02-20 10:45:01|-2.95|Flooding|3101593.8531|13957031.5513|30.07841296|-95.41698208|Voice In
44587|11608533-101000925269|Intersection 11860 DASHWOOD DR&4600 S KIRKWOOD RD|Harris County|F|ALIEF|||||||529E|International MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-22 11:34:28|2013-02-25 11:34:28|2013-02-22 16:45:01|-2.78|Flooding|3051511.72754|13820139.4586|29.70626067|-95.58788299|Voice In
45107|11608739-101000925863|Intersection 24 SHADOW LN&9800 SHADOW WOOD DR|Harris County|A|SPRING BRANCH WEST||NW|NE|FRIDAY|4th Friday|FRIDAY-A|450T|Spring Branch MD|PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-22 21:38:24|2013-02-25 21:38:24|2013-02-23 07:05:02|-2.61|Flooding|3067286.81344|13856309.0553|29.80440912|-95.53483573|Voice In
49809|11610740-101000931178|303 CROWN, HOUSTON TX 77020|HARRIS|H|DENVER HARBOR / PORT HOUSTON|0180940000033|NE|NE|FRIDAY|1st Tuesday|FRIDAY-B|495A||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-02-28 14:53:23|2013-03-03 14:53:22|2013-03-01 16:05:01|-1.95|Flooding|3144184.62|13850764.32|29.78268516|-95.29303988|Voice In
52287|11611865-101000934131|12302 WEDGEHILL, HOUSTON TX 77077|HARRIS|G|BRIAR FOREST|1010100000013||||||488R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-03-04 14:57:30|2013-03-07 14:57:30|2013-03-05 07:05:01|-2.33|Flooding|||||WEB
62666|11615780-101000946256|12302 WEDGEHILL, HOUSTON TX 77077|HARRIS|G|BRIAR FOREST|1010100000013||||||488R||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-03-15 15:43:01|2013-03-18 15:43:01|2013-03-19 09:05:01|0.72|Flooding|||||WEB
67844|11617771-101000952365|Intersection 346 LITCHFIELD LN&12504 MEMORIAL DR|Harris County|G|MEMORIAL|||||||489M||PWE Public Works Engineering|Street and Drainage|Flooding|ROWM_StormSewer|3.0|Closed|2013-03-21 21:04:47|2013-03-24 21:04:47|2013-03-22 05:25:01|-2.65|Flooding|||29.76626583|-95.55057526|WEB
